Airport ID,Name,City,Country,IATA,ICAO,Latitude,Longitude,Altitude,Timezone,DST,Tz database time zone,Type,Source
1,Total RF Heliport,Bensalem,US,,,40.070985,-74.933689,11,,,,heliport,OurAirports
2,Aero B Ranch Airport,Leoti,US,,,38.704022,-101.473911,3435,,,,small_airport,OurAirports
3,Lowell Field,Anchor Point,US,,,59.947733,-151.692524,450,,,,small_airport,OurAirports
4,Epps Airpark,Harvest,US,,,34.86479949951172,-86.77030181884766,820,,,,small_airport,OurAirports
5,Katmai Lodge Airport,King Salmon,US,,,59.093287,-156.456699,80,,,,small_airport,OurAirports
6,Fulton Airport,Alex,US,,,34.9428028,-97.8180194,1100,,,,small_airport,OurAirports
7,Cordes Airport,Cordes,US,,,34.305599212646484,-112.16500091552734,3810,,,,small_airport,OurAirports
8,Goldstone (GTS) Airport,Barstow,US,,,35.35474,-116.885329,3038,,,,small_airport,OurAirports
9,Williams Ag Airport,Biggs,US,,,39.427188,-121.763427,87,,,,small_airport,OurAirports
10,Kitchen Creek Helibase Heliport,Pine Valley,US,,,32.7273736,-116.4597417,3350,,,,heliport,OurAirports
11,Grass Patch Airport,Bushnell,US,,,28.64550018310547,-82.21900177001953,53,,,,small_airport,OurAirports
12,River Oak Airport,Okeechobee,US,,,27.230899810791016,-80.96920013427734,35,,,,small_airport,OurAirports
13,Lt World Airport,Lithonia,US,,,33.76750183105469,-84.06829833984375,700,,,,small_airport,OurAirports
14,Caffrey Heliport,Hiram,US,,,33.887982,-84.736983,957,,,,heliport,OurAirports
15,Kaupulehu Heliport,Kailua-Kona,US,,,19.832881,-155.978347,43,,,,heliport,OurAirports
16,Delta Shores Airport,Clark Fork,US,,,48.145301818847656,-116.21399688720703,2064,,,,small_airport,OurAirports
17,Goltl Airport,McDonald,US,,,39.724028,-101.395994,3359,,,,small_airport,OurAirports
18,Hammer Airport,Polo,US,,,41.978401,-89.560402,840,,,,small_airport,OurAirports
19,St Mary Medical Center Heliport,Hobart,US,,,41.51139831542969,-87.2605972290039,634,,,,heliport,OurAirports
20,Hayenga's Cant Find Farms Airport,Kings,US,,,40.02560043334961,-89.1229019165039,820,,,,small_airport,OurAirports
21,Hayden Farm Airport,Gardner,US,,,38.72779846191406,-94.93049621582031,1100,,,,small_airport,OurAirports
22,Robbins Roost Airport,Stanford,US,,,37.409400939941406,-84.61969757080078,1265,,,,small_airport,OurAirports
23,Shell Chemical East Site Heliport,Gonzales,US,,,30.191944,-90.980833,15,,,,heliport,OurAirports
24,Ac & R Components Heliport,Chatham,US,,,39.66529846191406,-89.70559692382812,600,,,,heliport,OurAirports
25,Lejeune Airport,Crowley,US,,,30.136299,-92.429398,12,,,,small_airport,OurAirports
26,Slater Field,Federalsburg,US,,,38.75709915161133,-75.75379943847656,45,,,,small_airport,OurAirports
27,Dow Chemical Heliport,Ludington,US,,,43.94940185546875,-86.41670227050781,588,,,,heliport,OurAirports
28,Battle Lake Municipal Airport,Battle Lake,US,,,46.29999923706055,-95.70030212402344,1365,,,,small_airport,OurAirports
29,Cooper Flying Service Airport,Alba,US,,,37.202800750732,-94.412399291992,970,,,,small_airport,OurAirports
30,Livingston Healthcare Heliport,Livingston,US,,,45.675,-110.52515,4465,,,,heliport,OurAirports
31,Bucks Airport,Bridgeton,US,,,39.472998,-75.184346,105,,,,small_airport,OurAirports
32,North Raleigh Airport,Louisburg,US,,,36.085201263427734,-78.37139892578125,348,,,,small_airport,OurAirports
33,Colgate-Piscataway Heliport,New Brunswick,US,,,40.52090072631836,-74.47460174560547,78,,,,heliport,OurAirports
34,Cliche Cove Seaplane Base,Beekmantown,US,,,44.8118612,-73.3698057,96,,,,seaplane_base,OurAirports
35,Rodanthe Dare County Heliport,Rodanthe,US,,,35.594729,-75.470002,8,,,,heliport,OurAirports
36,Weiss Airfield,West Bloomfield,US,,,42.89576,-77.495263,1000,,,,small_airport,OurAirports
37,Miami Valley Hospital Heliport,Dayton,US,,,39.745091,-84.187278,905,,,,heliport,OurAirports
38,Gull Bay Landing Airport,Sandsprings,US,,,36.198598,-96.217693,960,,,,small_airport,OurAirports
39,Steel Systems Heliport,Salem,US,,,44.932899475097656,-123.12999725341797,195,,,,heliport,OurAirports
40,R J D Heliport,Coatesville,US,,,39.94889831542969,-75.74690246582031,402,,,,heliport,OurAirports
41,Ferrell Field,Mercer,US,,,41.2995,-80.211111,1301,,,,small_airport,OurAirports
42,McKenzie Bridge State Airport,Blue River,US,,,44.181466,-122.086,1620,,,,small_airport,OurAirports
43,Flying O Airport,Sumter,US,,,34.0093994140625,-80.26719665527344,150,,,,small_airport,OurAirports
44,Homan Field,Gary,US,,,44.809158,-96.498897,1590,,,,small_airport,OurAirports
45,Tcjc-Northeast Campus Heliport,Fort Worth,US,,,32.847599029541016,-97.18949890136719,600,,,,heliport,OurAirports
46,Alpine Range Airport,Everman,US,,,32.607601165771484,-97.24199676513672,670,,,,small_airport,OurAirports
47,Nowhere Airport,Goodlett,US,,,34.516606,-99.93694,1752,,,,small_airport,OurAirports
48,Vaughan Airport,Alton,US,,,36.574964,-78.998437,551,,,,small_airport,OurAirports
49,Groundhog Mountain Airport,Hillsville,US,,,36.663299560546875,-80.49949645996094,2680,,,,small_airport,OurAirports
50,Lower Granite State Airport,Colfax,US,,,46.672884,-117.441933,719,,,,small_airport,OurAirports
51,Howell Airport,Longbranch,US,,,47.17839813232422,-122.77200317382812,150,,,,small_airport,OurAirports
52,Northern Lite Airport,Waupaca,US,,,44.304298400878906,-89.05010223388672,860,,,,small_airport,OurAirports
53,Hawks Run Airport,Asotin,US,,,46.25,-117.2490005493164,2900,,,,small_airport,OurAirports
54,Lazy J. Aerodrome,Beverly,US,,,38.82889938354492,-79.86609649658203,2060,,,,small_airport,OurAirports
55,Mountain View Regional Hospital Heliport,Casper,US,,,42.840361,-106.224443,5210,,,,heliport,OurAirports
